,Asset Id,Address,Latitude,Longitude,proposed_MoO
1481,2928,Ludlam Rd / SW 60 St / SW 62 St,25.714346,-80.3021,NO SCOOT
1482,2949,Miller Dr / SW 68 Av / SW 69 Av,25.718218,-80.3059,NO SCOOT
1483,2967,Miller Dr & Red Rd,25.718935,-80.28591,SCOOT
1484,2968,Miller Dr & SW 62 Av,25.718653,-80.294106,SCOOT
1485,2969,Ludlam Rd & Miller Rd,25.71833,-80.302284,SCOOT
1486,3263,SW 48 St / SW 58 Av / SW 59 Av,25.726368,-80.28964,NO SCOOT
1487,3481,SW 72 Av & SW 60 St,25.714369,-80.31021,NO SCOOT
1488,3742,Blue Rd & Red Rd,25.726484,-80.28622,NO SCOOT
1489,6919,Alton Rd & 2 St,25.771105,-80.138565,NO SCOOT
1490,3032,Krome Av & N 2 St,25.471651,-80.47737,NO SCOOT
1491,3033,Krome Av & N 4 St,25.473494,-80.47739,NO SCOOT
1492,4889,Red Rd & NW 202 St,25.956923,-80.29455,SCOOT
1493,2058,Douglas Rd & NW 36 St,25.808594,-80.25649,SCOOT
